year_month,country,county,uid,uid_code,uidear,county_code,adolescent_10_24_receiving_fp_new,adolescent_10_24_receiving_fp_revisits,adults_25+_receiving_fp_services_new,adults_25+_receiving_fp_services_revisits,condoms_new,condoms_revisits,traditional_new,pills_new,pills_revisits,traditional_revisits,injectable_new,injectable_revisits,traditional,implants_new,implants_revisits,iucd_new,iucd_revisits,surgical_new,surgical_revisits,condoms,pills,injectables,implants,iucd,surgical,total_modern_fp,total_cyp,periodid,periodname,pills_combined_oral_contraceptive_stock_losses,pills_combined_oral_contraceptive_stock_dispensed,pills_combined_oral_contraceptive_stock_at_hand,pills_combined_oral_contraceptive_stock_requested,pills_combined_oral_contraceptive_stock_received,pills_emergency_pill_stock_losses,pills_emergency_pill_stock_dispensed,pills_emergency_pill_stock_at_hand,pills_emergency_pill_stock_requested,pills_emergency_pill_stock_received,pills_progestin_only_pills_stock_losses,pills_progestin_only_pills_stock_dispensed,pills_progestin_only_pills_stock_at_hand,pills_progestin_only_pills_stock_requested,pills_progestin_only_pills_stock_received,condoms_female_condom_stock_losses,condoms_female_condom_stock_dispensed,condoms_female_condom_stock_at_hand,condoms_female_condom_stock_requested,condoms_female_condom_stock_received,condoms_male_condom_stock_losses,condoms_male_condom_stock_dispensed,condoms_male_condom_stock_at_hand,condoms_male_condom_stock_requested,condoms_male_condom_stock_received,injectables_stock_losses,injectables_stock_dispensed,injectables_stock_at_hand,injectables_stock_requested,injectables_stock_received,implants_stock_losses,implants_stock_dispensed,implants_stock_at_hand,implants_stock_requested,implants_stock_received,iud_stock_losses,iud_stock_dispensed,iud_stock_at_hand,iud_stock_requested,iud_stock_received,eligible_fp,"core_health_workforce_per_10,000population",Demand_Satisfied_by_Modern_Methods (%),"mCPR (Married Women, %)","Teenage Pregnancy Rate (15-19, %)","Total Unmet Need (Married Women, %)"
202412,Kenya,Kiambu,qKzosKQPl6G,202412_qKzosKQPl6G,2024_qKzosKQPl6G,KE_County_22,2158,3001,3976,7573,1663,1458,463,2836,3395,43,2342,5341,506,1222,706,454,184,28,0,3121,6231,7683,1928,638,28,19629,11948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898059.0,,,,,
202412,Kenya,Nyeri,ptWVfaCIdVx,202412_ptWVfaCIdVx,2024_ptWVfaCIdVx,KE_County_19,603,938,925,3993,322,1369,44,902,1230,0,484,2947,44,417,303,147,56,7,0,1691,2132,3431,720,203,7,8184,4291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234884.0,,,,,
202412,Kenya,Trans Nzoia,mThvosEflAU,202412_mThvosEflAU,2024_mThvosEflAU,KE_County_26,1122,3054,1030,5790,998,1237,127,547,651,80,1224,7056,207,952,710,35,18,0,0,2235,1198,8280,1662,53,0,13428,7848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313499.0,,,,,
202412,Kenya,Tharaka Nithi,T4urHM47nlm,202412_T4urHM47nlm,2024_T4urHM47nlm,KE_County_13,244,974,309,3355,67,130,242,241,615,33,315,3492,275,236,181,23,4,0,0,197,856,3807,417,27,0,5304,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127469.0,,,,,
202412,Kenya,Kitui,j8o6iO4Njsi,202412_j8o6iO4Njsi,2024_j8o6iO4Njsi,KE_County_15,1258,1626,701,5639,726,168,405,422,530,2,943,6539,407,758,555,38,8,2,0,894,952,7482,1313,46,2,10689,6418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382970.0,,,,,
202412,Kenya,Meru,Y52XNJ50hYb,202412_Y52XNJ50hYb,2024_Y52XNJ50hYb,KE_County_12,1620,1587,2734,3449,1633,1773,449,914,829,2,1765,4077,451,913,636,122,73,3,0,3406,1743,5842,1549,195,3,12738,7914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509964.0,,,,,
202412,Kenya,Marsabit,Eey8fT4Im3y,202412_Eey8fT4Im3y,2024_Eey8fT4Im3y,KE_County_10,97,117,150,337,16,0,32,95,59,0,184,515,32,77,18,6,1,0,0,16,154,699,95,7,0,971,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139373.0,,,,,
202412,Kenya,Turkana,kphDeKClFch,202412_kphDeKClFch,2024_kphDeKClFch,KE_County_23,587,1329,524,715,628,700,1012,300,336,300,443,1095,1312,380,225,4,1,0,0,1328,636,1538,605,5,0,4112,2226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288520.0,,,,,
202412,Kenya,Nandi,t0J75eHKxz5,202412_t0J75eHKxz5,2024_t0J75eHKxz5,KE_County_29,783,5045,800,4912,209,61,540,382,474,184,1537,6175,724,487,316,70,24,1,0,270,856,7712,803,94,1,9736,5015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295087.0,,,,,
202412,Kenya,Nakuru,ob6SxuRcqU4,202412_ob6SxuRcqU4,2024_ob6SxuRcqU4,KE_County_32,6096,7554,3016,13828,470,795,660,2793,4362,63,2320,13129,723,3831,977,410,161,12,0,1265,7155,15449,4808,571,12,29260,22359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697909.0,,,,,
